diario,titulo,contenido,fecha de extracción,contenido_depurado
es.mercopress.com,Falklands: la historia familiar detrás de un hotel icónico en la rambla de Stanley,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99606/100x80/flks.jpg"" alt=""El viejo edificio sobre la rambla de Stanley, y referencia para visitantes a las Falklands, The Upland Goose Hotel. Foto: Mike Leavenworth"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         Con motivo de la velada en que las Islas Falkland celebró un buen año en materia turística y se premió a quienes se destacaron en la promoción de dicha actividad, la Directora Ejecutiva del Directorio Turístico de las Islas, Stephanie  Middleton presentó uno de los galardones más resaltables, Contribución Especial al Turismo, a Alison Howe y Anna King.</p>","Sun, 12 May 2024 21:11:00 GMT","Con motivo de la velada en que las Islas Falkland celebró un buen año en materia turística y se premió a quienes se destacaron en la promoción de dicha actividad, la Directora Ejecutiva del Directorio Turístico de las Islas, Stephanie  Middleton presentó uno de los galardones más resaltables, Contribución Especial al Turismo, a Alison Howe y Anna King."
es.mercopress.com,"Nuevo embajador británico en Uruguay, Malcolm Green","<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99605/100x80/zs-y2w28.jpg"" alt=""Green tiene experiencia en la regi&oacute;n ya que fue Subjefe de Misi&oacute;n y C&oacute;nsul General en Argentina y Chile entre 2013 y 2018, y ocup&oacute; un puesto en la secci&oacute;n de Pol&iacute;tica en Argentina entre 2003 y 2006. "" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         El Gobierno británico anunció hoy a Malcolm Christopher David Green como próximo Embajador en Uruguay. Malcolm Green, llegará a Montevideo en agosto, en sustitución de la embajadora Faye O’Connor OBE, que asumirá un nuevo cargo en el Ministerio de Relaciones Exteriores, Mancomunidad y Desarrollo del Reino Unido en Londres.</p>","Sat, 11 May 2024 11:21:00 GMT","El Gobierno británico anunció hoy a Malcolm Christopher David Green como próximo Embajador en Uruguay. Malcolm Green, llegará a Montevideo en agosto, en sustitución de la embajadora Faye O’Connor OBE, que asumirá un nuevo cargo en el Ministerio de Relaciones Exteriores, Mancomunidad y Desarrollo del Reino Unido en Londres."
es.mercopress.com,Falklands organiza foro sobre desarrollo económico con panelistas internacionales,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99604/100x80/nz-.jpg"" alt=""Debbie Summers,  Directora Ejecutiva de ID Tours de Nueva Zelanda"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         Un foro sobre desarrollo económico en las Islas Falkland será lanzado por primera vez en la próxima Semana de la ExpoRural que normalmente se desarrolla durante el mes de julio, según explicó del Director Gerente de la Corporación para el Desarrollo de las Falklands, Zachary Franklin en conferencia de medios. Se trata de un acontecimiento con carácter anual, al cual la Corporación estaba mandatada a realizar según quedó establecido en la revisión de los cometidos de la institución.</p>","Sat, 11 May 2024 11:20:00 GMT","Un foro sobre desarrollo económico en las Islas Falkland será lanzado por primera vez en la próxima Semana de la ExpoRural que normalmente se desarrolla durante el mes de julio, según explicó del Director Gerente de la Corporación para el Desarrollo de las Falklands, Zachary Franklin en conferencia de medios. Se trata de un acontecimiento con carácter anual, al cual la Corporación estaba mandatada a realizar según quedó establecido en la revisión de los cometidos de la institución."
es.mercopress.com,Asamblea General de la ONU aprueba membresía plena de Palestina pero sin derecho a voto,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99601/100x80/onu.jpg"" alt=""Seg&uacute;n medios de Buenos Aires, Argentina podr&iacute;a esperar reciprocidad de Israel en el tema Malvinas/Falklands por oponerse al voto mayoritario"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         A pesar del rechazo de Argentina y de otros ocho países, la Organización de las Naciones Unidas (ONU) decidió este viernes por 143 votos a favor y 25 abstenciones elevar el estatus de Palestina dentro de la organización al de miembro pleno, se informó en Nueva York. En 2012, Palestina fue admitida como Estado observador con 138 votos a favor y 9 en contra.</p>","Sat, 11 May 2024 10:59:00 GMT","A pesar del rechazo de Argentina y de otros ocho países, la Organización de las Naciones Unidas (ONU) decidió este viernes por 143 votos a favor y 25 abstenciones elevar el estatus de Palestina dentro de la organización al de miembro pleno, se informó en Nueva York. En 2012, Palestina fue admitida como Estado observador con 138 votos a favor y 9 en contra."
es.mercopress.com,Richardson advierte sobre peligros de la expansión de China en América Latina,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99600/100x80/lauritax.jpg"" alt="""" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         La jefa del Comando Sur de Estados Unidos (Southcom), Laura Richardson, advirtió durante su mensaje este jueves en la Novena Conferencia de Seguridad Hemisférica (HSC) en el campus Miami de la Universidad Internacional de Florida (FIU), organizada por el Instituto Jack D. Gordon de Políticas Públicas junto con la Fundación Taeda, que la creciente influencia de China en la construcción de infraestructura crítica en América Latina había planteado preocupaciones de seguridad. Para peor, la región no se beneficia ""de los recursos que extrae China"", subrayó la general de cuatro estrellas</p>","Sat, 11 May 2024 10:58:00 GMT","La jefa del Comando Sur de Estados Unidos (Southcom), Laura Richardson, advirtió durante su mensaje este jueves en la Novena Conferencia de Seguridad Hemisférica (HSC) en el campus Miami de la Universidad Internacional de Florida (FIU), organizada por el Instituto Jack D. Gordon de Políticas Públicas junto con la Fundación Taeda, que la creciente influencia de China en la construcción de infraestructura crítica en América Latina había planteado preocupaciones de seguridad. Para peor, la región no se beneficia ""de los recursos que extrae China"", subrayó la general de cuatro estrellas"
es.mercopress.com,Nuevo incidente entre fuerzas argentinas y pescadores ilegales paraguayos,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99602/100x80/ctes.jpg"" alt=""La Canciller&iacute;a argentina ha hecho la vista gorda en repetidas ocasiones ante el conflicto, afirm&oacute; el gobernador Vald&eacute;s"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         El gobernador de la provincia argentina de Corrientes, Gustavo Valdés, insistió en que la Cancillería y el Senado deben involucrarse luego de que se reportara otro enfrentamiento entre pescadores paraguayos no autorizados y la Prefectura Naval Argentina (PNA). “Ojalá se cuiden y no sigan negando el conflicto como hasta ahora”, afirmó Valdés.</p>","Sat, 11 May 2024 10:53:00 GMT","El gobernador de la provincia argentina de Corrientes, Gustavo Valdés, insistió en que la Cancillería y el Senado deben involucrarse luego de que se reportara otro enfrentamiento entre pescadores paraguayos no autorizados y la Prefectura Naval Argentina (PNA). “Ojalá se cuiden y no sigan negando el conflicto como hasta ahora”, afirmó Valdés."
es.mercopress.com,Sube a 116 el número de muertos en Rio Grande do Sul,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99599/100x80/fotojet-13-.jpg"" alt=""La asistencia a lugares a los que s&oacute;lo se llega en helic&oacute;ptero podr&iacute;a verse afectada por las lluvias el fin de semana"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         El número total de víctimas en el estado brasileño de Rio Grande do Sul afectado por fuertes lluvias se actualizó a 116 y se pronostica mal tiempo para este fin de semana. Según el Ministro de Información Presidencial, Paulo Pimenta, un volumen estimado en unos 115 milímetros volvería a ejercer presión sobre los ríos ya desbordados.</p>","Sat, 11 May 2024 10:50:00 GMT","El número total de víctimas en el estado brasileño de Rio Grande do Sul afectado por fuertes lluvias se actualizó a 116 y se pronostica mal tiempo para este fin de semana. Según el Ministro de Información Presidencial, Paulo Pimenta, un volumen estimado en unos 115 milímetros volvería a ejercer presión sobre los ríos ya desbordados."
es.mercopress.com,Sin víctimas fatales tras choque de trenes en Buenos Aires,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99597/100x80/838110-trenchoque-0.jpg"" alt=""Hay una degradaci&oacute;n total de la empresa ferroviaria estatal, explic&oacute; el dirigente sindical ferroviario Maturano"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         Un choque de trenes a las 10.30 del viernes en el barrio porteño de Palermo dejó numerosos heridos, pero no se registraron víctimas mortales. Aunque las autoridades aún no han determinado la causa del accidente, los dirigentes sindicales ferroviarios culparon a la administración libertaria del presidente Javier Milei por las deficiencias en la señalización, que se han agravado en los últimos meses debido al aumento de los robos de cableado de cobre.</p>","Sat, 11 May 2024 10:47:00 GMT","Un choque de trenes a las 10.30 del viernes en el barrio porteño de Palermo dejó numerosos heridos, pero no se registraron víctimas mortales. Aunque las autoridades aún no han determinado la causa del accidente, los dirigentes sindicales ferroviarios culparon a la administración libertaria del presidente Javier Milei por las deficiencias en la señalización, que se han agravado en los últimos meses debido al aumento de los robos de cableado de cobre."
es.mercopress.com,Salarios rezagados frente a la inflación en Argentina con Milei,"<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99595/100x80/innf.jpg"" alt=""Milei hab&iacute;a citado un informe del Ministerio de Trabajo que afirmaba lo contrario"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         La inflación superó los salarios en marzo por 11% contra 10,3%, según un informe del Instituto Nacional de Estadísticas y Censos (Indec) de Argentina publicado este viernes en Buenos Aires. En términos interanuales, el índice salarial aumentó un 200,8% en promedio (231,7% en el sector privado registrado, 183,7% en el sector público y 129,2% en el sector privado informal) y la inflación fue del 287,9%, según mostró la encuesta. De ahí que la percepción del presidente Javier Milei de que los salarios se estaban recuperando resultara inexacta.</p>","Sat, 11 May 2024 10:43:00 GMT","La inflación superó los salarios en marzo por 11% contra 10,3%, según un informe del Instituto Nacional de Estadísticas y Censos (Indec) de Argentina publicado este viernes en Buenos Aires. En términos interanuales, el índice salarial aumentó un 200,8% en promedio (231,7% en el sector privado registrado, 183,7% en el sector público y 129,2% en el sector privado informal) y la inflación fue del 287,9%, según mostró la encuesta. De ahí que la percepción del presidente Javier Milei de que los salarios se estaban recuperando resultara inexacta."
es.mercopress.com,"Huelga general debe ser un llamado de atención a las autoridades argentinas, afirma la CGT","<p>
	   	      <img src=""https://es.mercopress.com/data/cache/noticias/99581/100x80/retiro.jpg"" alt=""El gobierno tiene que cambiar de rumbo o se convocar&aacute;n m&aacute;s huelgas generales, advirti&oacute; Daer"" width=""100"" height=""80"" style=""float:left;margin:0 12px 6px 0;border:1px solid #333"" />
	         Tras el paro general de este jueves, la Confederación General del Trabajo (CGT) de Argentina dijo que la medida era un “llamado de atención a las autoridades” que “deben tomar nota” del escenario que se avecina. El colíder de la CGT, Héctor Daer, también mencionó que “tomamos nota del apoyo” de los trabajadores que han sufrido una fuerte reducción salarial desde que asumió el presidente Javier Milei el 10 de diciembre de 2023.</p>","Fri, 10 May 2024 10:59:00 GMT","Tras el paro general de este jueves, la Confederación General del Trabajo (CGT) de Argentina dijo que la medida era un “llamado de atención a las autoridades” que “deben tomar nota” del escenario que se avecina. El colíder de la CGT, Héctor Daer, también mencionó que “tomamos nota del apoyo” de los trabajadores que han sufrido una fuerte reducción salarial desde que asumió el presidente Javier Milei el 10 de diciembre de 2023."
