diario,titulo,contenido,fecha de extracción,contenido_depurado
www.ambito.com,"La actividad industrial cayó 11,7% en el primer trimestre y acumula 10 meses de retrocesos","<p>A través de su informe mensual, la UIA expresó su preocupación por la suba de costos, la caída del consumo y el freno en la construcción.</p>","Thu, 16 May 2024 16:42:10 -0300","A través de su informe mensual, la UIA expresó su preocupación por la suba de costos, la caída del consumo y el freno en la construcción."
www.ambito.com,Cuáles son los barrios con más oferta de inmuebles para alquilar,"<p>La oferta de inmuebles disponibles para alquilar en Capital Federal se incrementó 13,83% el último mes, según el Colegio Único de Corredores Inmobiliarios porteño (CUCICBA)</p>","Thu, 16 May 2024 16:13:00 -0300","La oferta de inmuebles disponibles para alquilar en Capital Federal se incrementó 13,83% el último mes, según el Colegio Único de Corredores Inmobiliarios porteño (CUCICBA)"
www.ambito.com,Recesión: las ventas de informática cayeron 33% en el primer trimestre,<p>Los empresarios del sector piden cobrar una deuda de u$s240 millones acumulada por importaciones. También reclaman una reducción de impuestos.</p>,"Thu, 16 May 2024 15:56:00 -0300",Los empresarios del sector piden cobrar una deuda de u$s240 millones acumulada por importaciones. También reclaman una reducción de impuestos.
www.ambito.com,"Quién es Lorinc Mészáros, el humilde instalador de tuberías que se convirtió en el multimillonario más poderoso de Hungría",<p>Conocé la historia de uno de los hombres más ricos de Hungría: de la humildad al ser un millonario destacado del mundo.</p>,"Thu, 16 May 2024 15:30:00 -0300",Conocé la historia de uno de los hombres más ricos de Hungría: de la humildad al ser un millonario destacado del mundo.
www.ambito.com,Mediam by Aleph es el representante oficial de la plataforma de streaming ViX en 13 países de América Latina,<p>La alianza abrirá oportunidades únicas para que las agencias de publicidad y anunciantes se conecten con sus audiencias locales a través de publicidad efectiva en la plataforma de streaming más importante de América Latina</p>,"Thu, 16 May 2024 15:27:00 -0300",La alianza abrirá oportunidades únicas para que las agencias de publicidad y anunciantes se conecten con sus audiencias locales a través de publicidad efectiva en la plataforma de streaming más importante de América Latina
www.ambito.com,"Quién es Edir Macedo, el pastor evangelista que se convirtió en multimillonario, estuvo preso y ayudó a Bolsonaro a ser presidente","<p>Conocé la historia de cómo el ""pare de sufrir"" ayudó a construir el imperio de uno de los millonarios más famosos y controversiales de Brasil.</p>","Thu, 16 May 2024 14:00:00 -0300","Conocé la historia de cómo el ""pare de sufrir"" ayudó a construir el imperio de uno de los millonarios más famosos y controversiales de Brasil."
www.ambito.com,"Disney, Fox y Warner Bros Discovery ya tienen nombre para su empresa de transmisiones deportivas","<p>Venu Sports estará disponible directamente a través de una nueva aplicación y los abonados podrán optar por combinar el servicio con Disney+, Hulu o Max.</p>","Thu, 16 May 2024 13:09:35 -0300","Venu Sports estará disponible directamente a través de una nueva aplicación y los abonados podrán optar por combinar el servicio con Disney+, Hulu o Max."
www.ambito.com,Las ventas de electrodomésticos cayeron al nivel más bajo en los últimos 12 años,<p>El mercado registró una caída de 40% en el primer trimestre de este año en comparación con el mismo período de 2023.</p>,"Wed, 15 May 2024 17:49:00 -0300",El mercado registró una caída de 40% en el primer trimestre de este año en comparación con el mismo período de 2023.
www.ambito.com,La caída en el consumo le pegó a una gigante alimenticia,"<p>Molinos Río de la Plata informó que durante el primer trimestre del año experimentó una caída en los volúmenes comercializados del 6,1%.</p>","Wed, 15 May 2024 17:31:00 -0300","Molinos Río de la Plata informó que durante el primer trimestre del año experimentó una caída en los volúmenes comercializados del 6,1%."
www.ambito.com,"Líneas aéreas: crece el tráfico en América latina, pero Argentina todavía corre de atrás","<p>Colombia, Chile, Perú y Brasil impulsaron el crecimiento de la aviación comercial en la región en el primer trimestre. Argentina se estancó y México retrocedió.</p>","Wed, 15 May 2024 16:55:00 -0300","Colombia, Chile, Perú y Brasil impulsaron el crecimiento de la aviación comercial en la región en el primer trimestre. Argentina se estancó y México retrocedió."
www.ambito.com,Credicoop anuncia préstamos a entidades de carácter social,"<p>Lanza una nueva línea de créditos destinados a financiar proyectos de inversión, adquisición de maquinarias, vehículos utilitarios, infraestructura en general, como así también Capital de Trabajo.</p>","Wed, 15 May 2024 16:04:47 -0300","Lanza una nueva línea de créditos destinados a financiar proyectos de inversión, adquisición de maquinarias, vehículos utilitarios, infraestructura en general, como así también Capital de Trabajo."
www.ambito.com,EEUU: cuáles son las ciudades que más inversiones inmobiliarias atraen,"<p class=""p1"">Actualmente, hay un aumento poblacional en Estados Unidos que influye en la demanda de viviendas y en la inversión en el mercado inmobiliario</p> <p> </p>","Wed, 15 May 2024 14:57:18 -0300","Actualmente, hay un aumento poblacional en Estados Unidos que influye en la demanda de viviendas y en la inversión en el mercado inmobiliario"
www.ambito.com,"En una pelea por los dividendos, Lula echó al presidente de Petrobras","<p>El gobierno de Luiz Inácio Lula da Silva despidió la noche del martes a Prates, desgastado por discusiones sobre el pago de dividendos de la compañía</p>","Wed, 15 May 2024 13:39:30 -0300","El gobierno de Luiz Inácio Lula da Silva despidió la noche del martes a Prates, desgastado por discusiones sobre el pago de dividendos de la compañía"
www.ambito.com,"Quién es Mohammed Dewji, el único multimillonario de Tanzania que sufrió uno de los secuestros más resonantes de África",<p>Es uno de los millonarios más jóvenes de su continente y logró convertir una pequeña empresa familiar en el conglomerado más grande de su país.</p>,"Wed, 15 May 2024 12:45:00 -0300",Es uno de los millonarios más jóvenes de su continente y logró convertir una pequeña empresa familiar en el conglomerado más grande de su país.
www.ambito.com,"Para Volkswagen, la recuperación del mercado de camiones será más rápida que la de autos","<p>En diálogo con la prensa, el titular de la filial local, Marcellus Puig, brindó detalles de este proyecto y analizó aspectos del mercado general de vehículos.</p>","Wed, 15 May 2024 12:06:00 -0300","En diálogo con la prensa, el titular de la filial local, Marcellus Puig, brindó detalles de este proyecto y analizó aspectos del mercado general de vehículos."
www.ambito.com,"Cómo hizo su fortuna Pável Dúrov, el multimillonario conocido como el ""Mark Zuckerberg ruso"" que revolucionó Occidente",<p>El creador de la red social VK y Telegram indicó que creó su sistema de mensajería para comunicarse de manera segura con su familia ante su exilio de Rusia.</p>,"Tue, 14 May 2024 20:30:00 -0300",El creador de la red social VK y Telegram indicó que creó su sistema de mensajería para comunicarse de manera segura con su familia ante su exilio de Rusia.
www.ambito.com,Telecom cubrirá el 22% de su consumo eléctrico con energías renovables,<p>Firmó acuerdos de provisión de energía de fuentes eólicas por los próximos 10 años con YPF Luz y Genneia. Se propone alcanzar un 50% de abastecimiento de energías renovables para 2030.</p>,"Tue, 14 May 2024 19:33:00 -0300",Firmó acuerdos de provisión de energía de fuentes eólicas por los próximos 10 años con YPF Luz y Genneia. Se propone alcanzar un 50% de abastecimiento de energías renovables para 2030.
www.ambito.com,"Quién era Paul Madisson, el multimillonario que murió pobre y en soledad por un engaño","<p>¿Quién no ha soñado alguna vez con ganar la lotería y de un día para el otro volverse rico? Bueno, no todas las historias tienen final feliz.</p>","Tue, 14 May 2024 19:30:00 -0300","¿Quién no ha soñado alguna vez con ganar la lotería y de un día para el otro volverse rico? Bueno, no todas las historias tienen final feliz."
www.ambito.com,Hot Sale: Naranja X registró incrementos de hasta 60% en las ventas del primer día,"<p>Las mayores transacciones se concentraron en electrodomésticos, indumentaria deportiva y computación y electrónica. Las 12 cuotas sin interés fueron la financiación más utilizada.</p>","Tue, 14 May 2024 18:24:00 -0300","Las mayores transacciones se concentraron en electrodomésticos, indumentaria deportiva y computación y electrónica. Las 12 cuotas sin interés fueron la financiación más utilizada."
www.ambito.com,"Quién es Bernie Madoff, el multimillonario que realizó la estafa piramidel más grande de la historia y engañó hasta a sus propios hijos","<p>Conocé la historia de uno de los estafadores millonarios más grandes que pasó por Wall Street; dólares, engaños, suicidios, entre otras cosas.</p>","Tue, 14 May 2024 17:30:00 -0300","Conocé la historia de uno de los estafadores millonarios más grandes que pasó por Wall Street; dólares, engaños, suicidios, entre otras cosas."
www.perfil.com,La actividad industrial acumula 10 meses consecutivos de caída,"<p><img src=""https://fotos.perfil.com/2024/03/16/trim/540/304/17-03-2024industria-1771600.jpg"" alt=""17-03-2024INDUSTRIA"" /></p>Según la Unión Industrial Argentina, con la baja del 4,7% en comparación a febrero, la contracción en el primer trimestre del año alcanzó el 11,7%.
 <a href=""https://www.perfil.com/noticias/economia/la-actividad-industrial-llego-a-los-10-meses-consecutivos-en-declive-cayo-172-interanual-en-abril.phtml"">Leer más</a>","Thu, 16 May 2024 20:41:00 GMT","Según la Unión Industrial Argentina, con la baja del 4,7% en comparación a febrero, la contracción en el primer trimestre del año alcanzó el 11,7%.Leer más"
www.perfil.com,"A los 99 años falleció Jorge Aceiro, uno de los referentes del empresariado de Argentina","<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/jorge-aceiro-1802966.jpg"" alt=""Jorge Aceiro"" /></p>Desde la emblemática Siam, estuvo en cargos directivos en las papeleras Witcel y Celulosa, el Banco Nación y la petrolera Bridas,  <a href=""https://www.perfil.com/noticias/economia/quien-fue-jorge-aceiro-uno-de-los-empresarios-mas-importantes-de-argentina-y-que-fallecio-a-los-99-anos.phtml"">Leer más</a>","Thu, 16 May 2024 20:15:00 GMT","Desde la emblemática Siam, estuvo en cargos directivos en las papeleras Witcel y Celulosa, el Banco Nación y la petrolera Bridas,Leer más"
www.perfil.com,El dólar blue cerró a $1080 para la compra y $1100 para la venta este jueves 16 de mayo de 2024,"<p><img src=""https://fotos.perfil.com/2024/04/08/trim/540/304/dolar-1781700.jpg"" alt=""Dólar"" /></p>Conoce los valores de cierre de la divisa norteamericana, hoy 16 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/el-dolar-blue-cerro-a-1080-para-la-compra-y-1100-para-la-venta-este-jueves-16-de-mayo-de-2024.phtml"">Leer más</a>","Thu, 16 May 2024 20:01:00 GMT","Conoce los valores de cierre de la divisa norteamericana, hoy 16 de mayo de 2024.Leer más"
www.perfil.com,Más de 100 estaciones de servicio suspendieron la venta de GNC,"<p><img src=""https://fotos.perfil.com/2024/04/18/trim/540/304/18-04-2024-gnc-cordoba-1787433.jpg"" alt=""18-04-2024 GNC Córdoba"" /></p>Reclaman que las distribuidoras regularicen la situación que afecta a varias provincias. Están incluidas Buenos Aires, Tucumán, La Pampa, Catamarca, Santiago del Estero, Neuquén y Río Negro. <a href=""https://www.perfil.com/noticias/economia/mas-de-100-estaciones-de-servicio-suspendieron-la-venta-de-gnc.phtml"">Leer más</a>","Thu, 16 May 2024 19:39:00 GMT","Reclaman que las distribuidoras regularicen la situación que afecta a varias provincias. Están incluidas Buenos Aires, Tucumán, La Pampa, Catamarca, Santiago del Estero, Neuquén y Río Negro.Leer más"
www.perfil.com,"A cuánto cerró el real blue hoy, jueves 16 de mayo de 2024","<p><img src=""https://fotos.perfil.com/2023/03/13/trim/540/304/real-brasileno-1526622.jpg"" alt=""Real brasileño"" /></p>Conoce los valores de cierre de la divisa brasilera, hoy 16 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/a-cuanto-cerro-el-real-blue-hoy-jueves-16-de-mayo-de-2024.phtml"">Leer más</a>","Thu, 16 May 2024 19:23:00 GMT","Conoce los valores de cierre de la divisa brasilera, hoy 16 de mayo de 2024.Leer más"
www.perfil.com,El euro blue cerró a $1163 para la compra y $1196 para la venta este jueves 16 de mayo de 2024,"<p><img src=""https://fotos.perfil.com/2023/04/03/trim/540/304/euros-1539937.jpg"" alt=""Euros"" /></p>Conoce los valores de cierre de la divisa europea, hoy 16 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/el-euro-blue-cerro-a-1160-para-la-compra-y-1193-para-la-venta-este-jueves-16-de-mayo-de-2024.phtml"">Leer más</a>","Thu, 16 May 2024 19:23:00 GMT","Conoce los valores de cierre de la divisa europea, hoy 16 de mayo de 2024.Leer más"
www.perfil.com,El Mercado Norte quiere recuperar la afluencia de público y regala hasta un millón de pesos,"<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/mercado-norte-de-cordoba-1802916.jpg"" alt=""Mercado Norte de Córdoba"" /></p>Entregará órdenes de compra todas las semanas para ser utilizadas en los distintos puestos. La iniciativa comprende a los más de 70 locatarios del paseo de compras. <a href=""https://www.perfil.com/noticias/cordoba/el-mercado-norte-quiere-recuperar-la-afluencia-de-publico-y-regala-hasta-un-millon-de-pesos.phtml"">Leer más</a>","Thu, 16 May 2024 18:49:29 GMT",Entregará órdenes de compra todas las semanas para ser utilizadas en los distintos puestos. La iniciativa comprende a los más de 70 locatarios del paseo de compras.Leer más
www.perfil.com,"Ley Bases: el oficialismo reconoció que no logrará la sanción antes del ""Pacto de Mayo""","<p><img src=""https://fotos.perfil.com/2024/05/15/trim/540/304/senado-1802043.jpg"" alt=""Senado"" /></p>El repaso de las noticias más destacadas del día por el equipo periodístico de Radio Perfil AM 1190. <a href=""https://radio.perfil.com/noticias/podcasts/ley-bases-el-oficialismo-reconocio-que-no-lograra-la-sancion-antes-del-pacto-de-mayo.phtml"">Leer más</a>","Thu, 16 May 2024 18:27:21 GMT",El repaso de las noticias más destacadas del día por el equipo periodístico de Radio Perfil AM 1190.Leer más
www.perfil.com,Un analista asegura que las reformas estructurales son fundamentales para que la inflación perfore el 5%,"<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/inflacion-1802912.jpg"" alt=""Inflación"" /></p>Distintas consultoras apuntan un nuevo descenso de la inflación para el mes de mayo, sin embargo, dependerá de lo político continuar con la desaceleración y no estancarse. <a href=""https://www.perfil.com/noticias/canal-e/para-un-analista-economico-si-se-demoran-mucho-mas-estas-reformas-estructurales-la-inflacion-no-va-a-perforar-el-piso-del-5.phtml"">Leer más</a>","Thu, 16 May 2024 18:15:18 GMT","Distintas consultoras apuntan un nuevo descenso de la inflación para el mes de mayo, sin embargo, dependerá de lo político continuar con la desaceleración y no estancarse.Leer más"
www.perfil.com,El Gobierno analiza postergar los aumentos de tarifas energéticas previstos para el invierno,"<p><img src=""https://fotos.perfil.com/2024/04/03/trim/540/304/tarifas-1779507.jpg"" alt=""Tarifas"" /></p>Lo afirmó el vocero presidencial Manuel Adorni, en relación con los resultados por encima de lo esperado en el recorte de los gastos estatales. <a href=""https://www.perfil.com/noticias/economia/el-gobierno-analiza-postergar-los-aumentos-de-tarifas-energeticas.phtml"">Leer más</a>","Thu, 16 May 2024 17:33:00 GMT","Lo afirmó el vocero presidencial Manuel Adorni, en relación con los resultados por encima de lo esperado en el recorte de los gastos estatales.Leer más"
www.perfil.com,Euro blue hoy: el minuto a minuto de la cotización de este jueves 16 de mayo de 2024,"<p><img src=""https://fotos.perfil.com/2022/07/05/trim/540/304/euros-20220705-1381728.jpg"" alt=""Euros 20220705"" /></p>Seguí en vivo la apertura del mercado de la divisa europea hoy, 16 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/euro-blue-hoy-el-minuto-a-minuto-de-la-cotizacion-de-este-jueves-16-de-mayo-de-2024.phtml"">Leer más</a>","Thu, 16 May 2024 17:28:00 GMT","Seguí en vivo la apertura del mercado de la divisa europea hoy, 16 de mayo de 2024.Leer más"
www.perfil.com,"Dólar hoy y dólar blue hoy, en VIVO: el minuto a minuto de la cotización de este jueves 16 de mayo de 2024","<p><img src=""https://fotos.perfil.com/2024/03/02/trim/540/304/20230302dolarafpg-1763972.jpg"" alt=""20230302_dolar_afp_g"" /></p>Seguí en vivo la cotización del dólar oficial, MEP, CCL, Cripto y Blue. Cuál es el valor en el mercado de la divisa norteamericana hoy, 16 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/dolar-hoy-y-dolar-blue-hoy-en-vivo-el-minuto-a-minuto-de-la-cotizacion-de-este-jueves-16-de-mayo-de-2024.phtml"">Leer más</a>","Thu, 16 May 2024 17:27:00 GMT","Seguí en vivo la cotización del dólar oficial, MEP, CCL, Cripto y Blue. Cuál es el valor en el mercado de la divisa norteamericana hoy, 16 de mayo de 2024.Leer más"
www.perfil.com,"A cuánto cotiza el real blue hoy, jueves 16 de mayo de 2024","<p><img src=""https://fotos.perfil.com/2024/01/16/trim/540/304/real-brasil-1738323.jpg"" alt=""Real Brasil"" /></p>Seguí en vivo la apertura del mercado de la divisa brasilera hoy, jueves 16 de mayo de 2024.
 <a href=""https://www.perfil.com/noticias/economia/a-cuanto-cotiza-el-real-blue-hoy-jueves-16-de-mayo-de-2024.phtml"">Leer más</a>","Thu, 16 May 2024 17:25:00 GMT","Seguí en vivo la apertura del mercado de la divisa brasilera hoy, jueves 16 de mayo de 2024.Leer más"
www.perfil.com,Saltó $60 el dólar blue en tres jornadas: ¿por qué sube y qué proyectan los estrategas?,"<p><img src=""https://fotos.perfil.com/2023/11/09/trim/540/304/nueva-disparada-del-blue-cuales-son-los-motivos-detras-de-la-suba-del-dolar-paralelo-1694590.jpg"" alt=""Nueva disparada del blue: cuáles son los motivos detrás de la suba del dólar paralelo"" /></p>La divisa informal pegó un salto y mucho tiene que ver la sexta baja de tasa de interés que implementó el BCRA esta semana ¿Seguirá subiendo la divisa? <a href=""https://www.perfil.com/noticias/economia/salto-60-el-dolar-blue-en-tres-jornadas-por-que-sube-y-que-proyectan-los-estrategas.phtml"">Leer más</a>","Thu, 16 May 2024 17:04:00 GMT",La divisa informal pegó un salto y mucho tiene que ver la sexta baja de tasa de interés que implementó el BCRA esta semana ¿Seguirá subiendo la divisa?Leer más
www.perfil.com,Multan a firmas del mexicano Carlos Slim por falta de permisos en cables interoceánicos,"<p><img src=""https://fotos.perfil.com/2024/05/14/trim/540/304/BC-multan-a-firmas-de-slim-por-falta-de-permisos-en-cables-interoceanicos-It.jpg"" alt=""Wolf Image"" /></p>La Comisión Federal de Comunicaciones de Estados Unidos sancionó a Latam Telecommunications y Puerto Rico Telephone, propiedad del multimillonario. <a href=""https://www.perfil.com/noticias/bloomberg/bc-multan-a-firmas-de-slim-por-falta-de-permisos-en-cables-interoceanicos.phtml"">Leer más</a>","Thu, 16 May 2024 16:31:00 GMT","La Comisión Federal de Comunicaciones de Estados Unidos sancionó a Latam Telecommunications y Puerto Rico Telephone, propiedad del multimillonario.Leer más"
www.perfil.com,"Las acciones chilenas, en récords históricos gracias al repunte del cobre","<p><img src=""https://fotos.perfil.com/2024/04/11/trim/540/304/BC-economistas-chilenos-preven-recorte-de-tasas-de-50pb-en-mayo-9z.jpg"" alt=""Central Bank of Chile Board Members Ahead Of Rate Decision"" /></p>El alza del precio del mineral, junto a la apreciación del peso y la consecuente moderación de las expectativas de inflación, han llevado a las acciones chilenas a máximos históricos. <a href=""https://www.perfil.com/noticias/bloomberg/bc-acciones-chilenas-rondan-nuevo-record-gracias-a-economia-y-cobre.phtml"">Leer más</a>","Thu, 16 May 2024 16:29:00 GMT","El alza del precio del mineral, junto a la apreciación del peso y la consecuente moderación de las expectativas de inflación, han llevado a las acciones chilenas a máximos históricos.Leer más"
www.perfil.com,"El director de JPMorgan advirtió sobre ""fuerzas inflacionarias"" que amenazan a la economía","<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/BC-jamie-dimon-advierte-sobre-muchas-fuerzas-inflacionarias-ante-nosotros-Vl.jpg"" alt=""Interviews At JPMorgan Global Markets Conference"" /></p>Jamie Dimon aseguró que las presiones sobre los precios siguen influyendo en la economía estadounidense, lo que podría implicar que las tasas de interés permanecerán más altas por más tiempo de lo que muchos inversionistas esperan. <a href=""https://www.perfil.com/noticias/bloomberg/bc-jamie-dimon-advierte-sobre-muchas-fuerzas-inflacionarias-ante-nosotros.phtml"">Leer más</a>","Thu, 16 May 2024 16:27:00 GMT","Jamie Dimon aseguró que las presiones sobre los precios siguen influyendo en la economía estadounidense, lo que podría implicar que las tasas de interés permanecerán más altas por más tiempo de lo que muchos inversionistas esperan.Leer más"
www.perfil.com,"En picada: por la baja del consumo, la carne vacuna es uno de los productos que menos subió de precio este año","<p><img src=""https://fotos.perfil.com/2024/04/12/trim/540/304/carnes-1784127.jpg"" alt=""Carnes02"" /></p>En medio de una de las mayores caídas históricas del consumo, los precios de los diferentes cortes de carne, especialmente el asado, están en mengua y la actividad afronta una profunda crisis. ""Los frigoríficos se están matando en la calle porque los carniceros no están comprando"", alertó Miguel Schiariti, presidente de CICCRA. <a href=""https://www.perfil.com/noticias/economia/en-picada-por-el-desplome-del-consumo-la-carne-vacuna-es-uno-de-los-productos-que-menos-subio-de-precio-en-lo-que-va-del-ano.phtml"">Leer más</a>","Thu, 16 May 2024 15:54:00 GMT","En medio de una de las mayores caídas históricas del consumo, los precios de los diferentes cortes de carne, especialmente el asado, están en mengua y la actividad afronta una profunda crisis. ""Los frigoríficos se están matando en la calle porque los carniceros no están comprando"", alertó Miguel Schiariti, presidente de CICCRA.Leer más"
www.perfil.com,El FMI anticipó crecimiento para el segundo semestre y dio pistas sobre futuro del peso con la competencia de monedas,"<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/julie-kozack-dierectora-del-departamento-de-comunicacion-del-fmi-1802718.jpg"" alt=""Julie Kozack, Dierectora del Departamento de Comunicación del FMI"" /></p>Julie Kozack, vocero del Fondo resaltó las metas cumplidas del primer trimestre en las que ""todos los criterios de desempeño cuantitativos han sido cumplidos"", pero indicó que el camino para mantener esos resultados será más complicado. Las definiciones sobre la competencia de monedas hacia la que se encamina el país. <a href=""https://www.perfil.com/noticias/economia/el-fmi-anticipo-crecimiento-ecnomico-para-el-segundo-semestre-y-opino-que-pasara-con-el-peso-con-la-competencia-de-monedas.phtml"">Leer más</a>","Thu, 16 May 2024 15:35:00 GMT","Julie Kozack, vocero del Fondo resaltó las metas cumplidas del primer trimestre en las que ""todos los criterios de desempeño cuantitativos han sido cumplidos"", pero indicó que el camino para mantener esos resultados será más complicado. Las definiciones sobre la competencia de monedas hacia la que se encamina el país.Leer más"
www.perfil.com,"""Mientras la reforma laboral se demora, el sector privado viene haciendo ajustes en sus plantillas”, señaló un experto","<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/pymes-1802799.jpg"" alt=""PyMEs"" /></p>Para el titular de Noticias Industriales, Martín Cipres, “está pasando algo muy significativo en lo que es la PyME de menos de 100 empleados y es que están manteniendo sus plantillas”. <a href=""https://www.perfil.com/noticias/canal-e/a-diferencia-de-las-pymes-el-sector-privado-viene-haciendo-ajustes-en-sus-plantillas-senalo-un-experto.phtml"">Leer más</a>","Thu, 16 May 2024 15:17:13 GMT","Para el titular de Noticias Industriales, Martín Cipres, “está pasando algo muy significativo en lo que es la PyME de menos de 100 empleados y es que están manteniendo sus plantillas”.Leer más"
www.perfil.com,"Cristian Folgar: ""La Antártida presenta un montón de desafíos, tiene recursos que hoy no se pueden explotar""","<p><img src=""https://fotos.perfil.com/2024/05/16/trim/540/304/cristian-folgar-1802797.jpg"" alt=""Cristian Folgar"" /></p>El economista señaló que el Tratado Antártico prohíbe la explotación de recursos en el continente, y cambiarlo implicaría disputas geopolíticas. “No creo que eso tenga lugar comercial en el mundo que vivimos hoy”, manifestó. <a href=""https://www.perfil.com/noticias/modo-fontevecchia/cristian-folgar-la-antartida-presenta-un-monton-de-desafios-tiene-recursos-que-hoy-no-se-pueden-explotar-modof.phtml"">Leer más</a>","Thu, 16 May 2024 15:15:20 GMT","El economista señaló que el Tratado Antártico prohíbe la explotación de recursos en el continente, y cambiarlo implicaría disputas geopolíticas. “No creo que eso tenga lugar comercial en el mundo que vivimos hoy”, manifestó.Leer más"
